registro_id,anio,tipo_id,casos_abiertos,casos_resueltos,casos_atrasados,casos_cerrados,tiempo_promedio_segundos
1,2025,1,1,1,0,1,12233
2,2025,2,2,2,0,2,542746
3,2025,3,35,35,0,35,163564
4,2025,4,127,127,0,127,24756
5,2025,5,76,76,0,76,20216
6,2025,6,0,0,0,0,0
7,2025,7,193,192,0,192,28394
8,2025,8,6,7,0,7,164692
9,2025,9,663,663,0,663,32873
10,2025,10,93,93,0,93,21478
11,2025,11,61,62,0,62,62512
12,2025,12,1,1,0,1,2083
13,2025,13,52,52,0,52,111212
14,2025,14,21,21,0,21,32179
15,2025,15,38,38,0,38,120476
16,2025,16,23,23,0,23,51466
17,2025,17,6,6,0,6,228110
18,2025,18,92,92,0,92,61687
19,2025,19,34,34,0,34,66275
20,2025,20,0,0,0,0,0
21,2025,21,51,51,0,51,93211
22,2025,22,10,10,0,10,55037
23,2025,23,0,0,0,0,0
24,2025,24,34,34,0,34,48207
25,2025,25,39,39,0,39,89499
26,2025,26,38,37,0,37,59649
27,2025,27,49,49,0,49,50922
28,2025,28,7,7,0,7,98386
29,2025,29,0,0,0,0,0
30,2025,30,129,129,0,129,160411
31,2025,31,1,1,0,1,22752
32,2025,32,0,0,0,0,0
33,2025,33,15,15,0,15,139914
34,2025,34,6,6,0,6,101483
35,2025,35,58,58,0,58,158428
36,2025,36,3,3,0,3,5766
37,2025,37,0,0,0,0,0
38,2025,38,13,13,0,13,12371
39,2025,39,5,5,0,5,12579
40,2025,40,0,0,0,0,0
41,2025,41,0,0,0,0,0
42,2025,42,0,0,0,0,0
43,2025,43,0,0,0,0,0
44,2025,44,15,15,0,15,2278
45,2025,45,9,9,0,9,62341
46,2025,46,46,43,0,43,51942
47,2025,47,3,3,0,3,2934
48,2025,48,1,1,0,1,10616
49,2025,49,0,0,0,0,0
50,2025,50,0,0,0,0,0
51,2025,51,3,3,0,3,130836
52,2025,52,3,3,0,3,4071
53,2025,53,1,1,0,1,1278
54,2025,54,1,1,0,1,38714
55,2025,55,0,0,0,0,0
56,2025,56,1,1,0,1,33364
57,2025,57,0,0,0,0,0
58,2025,58,3,3,0,3,3363
59,2025,59,0,0,0,0,0
60,2025,60,15,15,0,15,24143
61,2025,61,26,26,0,26,38152
62,2025,62,0,0,0,0,0
63,2025,63,0,0,0,0,0
